,Address,BuildingAddress,BuildingCity,BuildingName,BuildingState,BuildingZip,CourtType,LocationId,MainOffice,OfficeName,Phone,distance,order_expression
13,"Charles L. Brieant, Jr. United States Courthouse
300 Quarropas Street
White Plains, NY 10601-4150
",300 Quarropas Street,White Plains,"Charles L. Brieant, Jr. United States Courthouse",NY,10601-4150,Federal Defenders,1921,0,"Federal Defenders of New York, Inc.",914-428-7124,25.016002294197516,5
14,"Alfonse M. D'Amato United States Courthouse
Federal Plaza
Central Islip, NY 11722
",Federal Plaza,Central Islip,Alfonse M. D'Amato United States Courthouse,NY,11722,Appeals Court,30,0,Second Circuit Librarian,631-712-6090,42.46638222761648,1
15,"Alfonse M. D'Amato United States Courthouse
Federal Plaza
Central Islip, NY 11722
",Federal Plaza,Central Islip,Alfonse M. D'Amato United States Courthouse,NY,11722,Federal Defenders,2117,0,"Federal Defenders of New York, Inc.",631-712-6500,42.46638222761648,5
16,"United States Courthouse
355 Main Street
Poughkeepsie, NY 12601
",355 Main Street,Poughkeepsie,United States Courthouse,NY,12601,Bankruptcy Court,320,0,New York Southern Bankruptcy Court,845-452-4200,68.43464397004858,3
17,"United States Courthouse
355 Main Street
Poughkeepsie, NY 12601
",355 Main Street,Poughkeepsie,United States Courthouse,NY,12601,Probation/Pretrial Services,28694,0,New York Southern Pretrial Services,914-390-4140,68.43464397004858,4
18,"Robert H. Jackson Courthouse
2 Niagara Square
Buffalo, NY 14202
",2 Niagara Square,Buffalo,Robert H. Jackson Courthouse,NY,14202,Appeals Court,29,0,Second Circuit Librarian,716-551-1560,292.05279135005225,1
19,"One Pierrepont Plaza
300 Cadman Plaza West
Brooklyn, NY 11201
",300 Cadman Plaza West,Brooklyn,One Pierrepont Plaza,NY,11201,Federal Defenders,1922,0,"Federal Defenders of New York, Inc.",718-330-1200,805.3244721991359,5
20,"Conrad B. Duberstein United States Bankruptcy Courthouse
271-C Cadman Plaza East
Brooklyn, NY 11201-1800
",271-C Cadman Plaza East,Brooklyn,Conrad B. Duberstein United States Bankruptcy Courthouse,NY,11201-1800,Bankruptcy Court,315,1,New York Eastern Bankruptcy Court,347-394-1700,2.7008838733300773,3
21,"147 Pierrepont Street
Brooklyn, NY 11201-2712
",147 Pierrepont Street,Brooklyn,,NY,11201-2712,Probation/Pretrial Services,543,1,New York Eastern Probation Office,347-534-3400,2.7392683152383595,4
22,"Emanuel Celler Federal Building
225 Cadman Plaza East
Brooklyn, NY 11201-1818
",225 Cadman Plaza East,Brooklyn,Emanuel Celler Federal Building,NY,11201-1818,Appeals Court,28,0,Second Circuit Librarian,718-260-2320,2.7417075049688107,1
23,"Theodore Roosevelt United States Courthouse
225 Cadman Plaza East
Brooklyn, NY 11201-1818
",225 Cadman Plaza East,Brooklyn,Theodore Roosevelt United States Courthouse,NY,11201-1818,District Court,540,1,New York Eastern District Court,718-613-2600,2.7417075049688107,2
24,"Emanuel Celler Federal Building
225 Cadman Plaza East
Brooklyn, NY 11201-1818
",225 Cadman Plaza East,Brooklyn,Emanuel Celler Federal Building,NY,11201-1818,Probation/Pretrial Services,545,1,New York Eastern Pretrial Services,718-613-2570,2.7417075049688107,4
25,"Thurgood Marshall United States Courthouse
40 Centre Street
New York, NY 10007-1501
",40 Centre Street,New York,Thurgood Marshall United States Courthouse,NY,10007-1501,Appeals Court,22,1,Second Circuit Court of Appeals Clerk,212-857-8500,3.950969251870127,1
26,"Thurgood Marshall United States Courthouse
40 Centre Street
New York, NY 10007-1501
",40 Centre Street,New York,Thurgood Marshall United States Courthouse,NY,10007-1501,Appeals Court,33,1,Second Circuit Librarian,212-857-8900,3.950969251870127,1
27,"90-02 161 Street
Jamaica, NY 11432
",90-02 161 Street,Jamaica,,NY,11432,Probation/Pretrial Services,2407,0,New York Eastern Probation Office,718-374-8800,7.80516827883505,4
28,"Alfonse M. D'Amato United States Courthouse
Federal Plaza
Central Islip, NY 11722
",Federal Plaza,Central Islip,Alfonse M. D'Amato United States Courthouse,NY,11722,Appeals Court,30,0,Second Circuit Librarian,631-712-6090,39.62178175235833,1
29,"Alfonse M. D'Amato United States Courthouse
Federal Plaza
Central Islip, NY 11722
",Federal Plaza,Central Islip,Alfonse M. D'Amato United States Courthouse,NY,11722,District Court,541,0,New York Eastern District Court,631-712-6000,39.62178175235833,2
30,"Alfonse M. D'Amato United States Courthouse
Federal Plaza
Central Islip, NY 11722
",Federal Plaza,Central Islip,Alfonse M. D'Amato United States Courthouse,NY,11722,Bankruptcy Court,316,0,New York Eastern Bankruptcy Court,631-712-6200,39.62178175235833,3
31,"Alfonse M. D'Amato United States Courthouse
Federal Plaza
Central Islip, NY 11722
",Federal Plaza,Central Islip,Alfonse M. D'Amato United States Courthouse,NY,11722,Probation/Pretrial Services,544,0,New York Eastern Probation Office,631-712-6300,39.62178175235833,4
32,"Alfonse M. D'Amato United States Courthouse
Federal Plaza
Central Islip, NY 11722
",Federal Plaza,Central Islip,Alfonse M. D'Amato United States Courthouse,NY,11722,Probation/Pretrial Services,546,0,New York Eastern Pretrial Services,631-712-6400,39.62178175235833,4
33,"Robert H. Jackson Courthouse
2 Niagara Square
Buffalo, NY 14202
",2 Niagara Square,Buffalo,Robert H. Jackson Courthouse,NY,14202,Appeals Court,29,0,Second Circuit Librarian,716-551-1560,296.06371447388665,1
