POPS_Number,Borough_Name,Borough_Code,Community_District,Address_Number,Street_Name,Zip_Code,Building_Address_With_Zip_Code,Tax_Block,Tax_Lot,Building_Name,Building_Location,Year_Completed,Stories,Alternate_Stories,New_Building_Number,Building_Constructed,Primary_Building_Use,Additional_Addresses,Public_Space_Location,Public_Space_Type,Arcade,Covered_Pedestrian_Space,Elevated_Plaza,Open_Air_Concourse,Pedestrian_Circulation_Space,Plaza,Public_Plaza,Residential_Plaza,Sidewalk_Widening,Through_Block_Arcade,Through_Block_Connection,Through_Block_Galleria,Urban_Plaza,Other_Public_Spaces,Other_Public_Spaces_List,Developer,Building_Architect,Principal_Public_Space_Designer,Size_Required,Hour_Of_Access_Required_List,Hour_Of_Access_Required,Open_24_Hours,Restricted_Hours,Closing_for_Events,Amenities_Required_List,Amenities_Required,None,Artwork,Bicycle_Parking,Climate_Control,Drinking_Fountain,Elevator,Escalator,Food_Service,Lighting,Litter_Receptacles,Planting,Plaque_Sign,Programs,Restrooms,Retail_Frontage,Seating,Subway,Tables,Trees_on_Street,Trees_within_Space,Water_Feature,Other_Required,Permitted_Amenities_List,Permitted_Amenities,Open_Air_Cafe,Other_Permitted,Physically_Disabled,Latitude,Longitude,XCoordinate,YCoordinate
M050015,Manhattan,1,05,590,MADISON AVENUE,10022,"590 MADISON AVENUE, New York, NY 10022",01292,0015,,Southwest corner of East 57th Street and Madison Avenue,1982,43,,"6/78",Completed,Commercial,,Northwest corner of East 56th Street and Madison Avenue,Arcade; Covered Pedestrian Space; Seating Area; Through Block Arcade; Urban Plaza,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Seating Area,,Edward Larrabee Barnes,Edward Larrabee Barnes; Zion and Breen; Robert A. M. Stern (for alteration in 1995),Arcade 1851.00 sf; Covered Pedestrian Space 8261.00 sf; Seating Area 0.00 sf; Through Block Arcade 4669.00 sf; Urban Plaza 1821.00 sf,24 Hours; Closing for Events; Restricted Hours,"Arcade: 24 Hours; Covered Pedestrian Space: Closing for Events (may be closed to the public with advance notice for 6 private and 6 local community and not-for-profit organization events per year, starting no earlier than 3:00 pm weekdays or 5:00 pm weekend days; a sign giving notice of such closing must be posted at each entrance to the indoor public spaces for seven days prior to the event); Covered Pedestrian Space: Restricted Hours (8:00 am to 10:00 pm); Seating Area: Closing for Events (may be closed to the public with advance notice for 6 private and 6 local community and not-for-profit organization events per year, starting no earlier than 3:00 pm weekdays or 5:00 pm weekend days; a sign giving notice of such closing must be posted at each entrance to the indoor public spaces for seven days prior to the event); Seating Area: Restricted Hours (8:00 am to 10:00 pm); Through Block Arcade: Closing for Events (may be closed to the public with advance notice for 6 private and 6 local community and not-for-profit organization events per year, starting no earlier than 3:00 pm weekdays or 5:00 pm weekend days; a sign giving notice of such closing must be posted at each entrance to the indoor public spaces for seven days prior to the event); Through Block Arcade: Restricted Hours (8:00 am to 10:00 pm); Urban Plaza: 24 Hours",Yes,8:00 am to 10:00 pm; 8:00 am to 10:00 pm; 8:00 am to 10:00 pm,"may be closed to the public with advance notice for 6 private and 6 local community and not-for-profit organization events per year, starting no earlier than 3:00 pm weekdays or 5:00 pm weekend days; a sign giving notice of such closing must be posted at each entrance to the indoor public spaces for seven days prior to the event; may be closed to the public with advance notice for 6 private and 6 local community and not-for-profit organization events per year, starting no earlier than 3:00 pm weekdays or 5:00 pm weekend days; a sign giving notice of such closing must be posted at each entrance to the indoor public spaces for seven days prior to the event; may be closed to the public with advance notice for 6 private and 6 local community and not-for-profit organization events per year, starting no earlier than 3:00 pm weekdays or 5:00 pm weekend days; a sign giving notice of such closing must be posted at each entrance to the indoor public spaces for seven days prior to the event","Artwork; Food Service; Lighting; Litter Receptacles; None; Other Required; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature","Arcade: None; Covered Pedestrian Space: Artwork (Covered Pedestrian Space, Seating Area: indoor sculpture garden for display of large-scale works of art by major artists of the twentieth century, to be changed two or more times a year); Covered Pedestrian Space: Lighting; Covered Pedestrian Space: Litter Receptacles (Covered Pedestrian Space, Seating Area: 8); Covered Pedestrian Space: Plaque/Sign; Covered Pedestrian Space: Retail Frontage; Covered Pedestrian Space: Seating (Covered Pedestrian Space, Seating Area: 110 movable chairs); Covered Pedestrian Space: Tables (Covered Pedestrian Space, Seating Area: 32 movable); Covered Pedestrian Space: Trees within Space (Covered Pedestrian Space, Seating Area: 8 clusters in recessed planting beds); Seating Area: Artwork (Covered Pedestrian Space, Seating Area: indoor sculpture garden for display of large-scale works of art by major artists of the twentieth century, to be changed two or more times a year); Seating Area: Food Service (food and coffee kiosk); Seating Area: Lighting; Seating Area: Litter Receptacles (Covered Pedestrian Space, Seating Area: 8); Seating Area: Plaque/Sign; Seating Area: Seating (Covered Pedestrian Space, Seating Area: 110 movable chairs); Seating Area: Tables (Covered Pedestrian Space, Seating Area: 32 movable); Seating Area: Trees within Space (Covered Pedestrian Space, Seating Area: 8 clusters in recessed planting beds); Through Block Arcade: Lighting; Through Block Arcade: Litter Receptacles (2); Through Block Arcade: Other Required (access from 8:00 am to 10:00 pm from Through Block Arcade to passageway connecting to adjacent Trump Tower and to Fifth Avenue); Through Block Arcade: Plaque/Sign; Urban Plaza: Lighting; Urban Plaza: Plaque/Sign; Urban Plaza: Seating (66 linear feet of fixed seating); Urban Plaza: Trees on Street (14); Urban Plaza: Water Feature (sculpture pool)",Yes,"Covered Pedestrian Space, Seating Area: indoor sculpture garden for display of large-scale works of art by major artists of the twentieth century, to be changed two or more times a year; Covered Pedestrian Space, Seating Area: indoor sculpture garden for display of large-scale works of art by major artists of the twentieth century, to be changed two or more times a year",,,,,,food and coffee kiosk,Yes,"Covered Pedestrian Space, Seating Area: 8; Covered Pedestrian Space, Seating Area: 8; 2",,Yes,,,Yes,"Covered Pedestrian Space, Seating Area: 110 movable chairs; Covered Pedestrian Space, Seating Area: 110 movable chairs; 66 linear feet of fixed seating",,"Covered Pedestrian Space, Seating Area: 32 movable; Covered Pedestrian Space, Seating Area: 32 movable",14,"Covered Pedestrian Space, Seating Area: 8 clusters in recessed planting beds; Covered Pedestrian Space, Seating Area: 8 clusters in recessed planting beds",sculpture pool,access from 8:00 am to 10:00 pm from Through Block Arcade to passageway connecting to adjacent Trump Tower and to Fifth Avenue,,,,,"Full/Partial",40.762105,-73.973042 ,0991718,0216933
M050016,Manhattan,1,05,450,PARK AVENUE,10022,"450 PARK AVENUE, New York, NY 10022",01292,0037,,Southwest corner of Park Avenue and East 57th Street,1971,33,,"68/68",Completed,Commercial,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Peter Sharp,Emery Roth & Sons,Emery Roth & Sons,Plaza 3900.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,Lighting; Other Required; Planting; Seating; Trees on Street; Water Feature,Plaza: Lighting (minimum 5 foot candles); Plaza: Other Required (access from Plaza to lobby); Plaza: Planting (5 planters); Plaza: Seating (3 12-foot benches); Plaza: Trees on Street (8); Plaza: Water Feature (pool),,,,,,,,,minimum 5 foot candles,,5 planters,,,,,3 12-foot benches,,,8,,pool,access from Plaza to lobby,,,,,"Full/Partial",40.761495,-73.971328 ,0992193,0216711
M050017,Manhattan,1,05,230,WEST 27 STREET,10001,"230 WEST 27 STREET, New York, NY 10001",00776,0055,,South side of West 27th Street between Seventh and Eighth Avenues,1974,15,,"2/72",Completed,Community Facility,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Fashion Institute of Technology Staff Housing Co. Inc.,de Young & Moscowitz,de Young & Moscowitz,Plaza 3093.64 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.747028,-73.995362 ,0985535,0211439
M050018,Manhattan,1,05,550,MADISON AVENUE,10022,"550 MADISON AVENUE, New York, NY 10022",01291,0010,Sony,West side of Madison Avenue between East 55th and 56th Streets,1983,35,,"22/78",Completed,Commercial,,,Arcade; Covered Pedestrian Space,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,AT&T,"Johnson/Burgee","Johnson/Burgee; Gwathmey Siegel & Associates (for alteration in 1992 and 1998)",Arcade 3542.00 sf; Covered Pedestrian Space 10164.00 sf,24 Hours; Closing for Events; Restricted Hours,"Arcade: 24 Hours; Covered Pedestrian Space: Closing for Events (may be closed to the public with advance notice for 6 private and 6 local community and not-for-profit organization events per year, starting no earlier than 3:00 pm weekdays or 5:00 pm weekend days; a sign giving notice of such closing must be posted at each entrance to the Covered Pedestrian Space for seven days prior to the event); Covered Pedestrian Space: Restricted Hours (7:00 am to 11:00 pm)",Yes,7:00 am to 11:00 pm,"may be closed to the public with advance notice for 6 private and 6 local community and not-for-profit organization events per year, starting no earlier than 3:00 pm weekdays or 5:00 pm weekend days; a sign giving notice of such closing must be posted at each entrance to the Covered Pedestrian Space for seven days prior to the event","Climate Control; Food Service; Lighting; Litter Receptacles; Other Required; Plaque/Sign; Restrooms; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space","Arcade: Lighting (Arcade, Covered Pedestrian Space: 7 foot candles); Arcade: Litter Receptacles (Arcade: 6 recycling receptacles); Arcade: Plaque/Sign (at entrances and within Arcade, Covered Pedestrian Space, and Sony lobby on Madison Avenue); Arcade: Trees on Street (4); Covered Pedestrian Space: Climate Control (temperature range of 68 to 78 degrees Fahrenheit); Covered Pedestrian Space: Food Service (172 sf kiosk open 7:00 am to 6:00 pm Monday through Friday and 9:00 am to 5:00 pm on Saturday, 3,161 sf restaurant fronting Covered Pedestrian Space); Covered Pedestrian Space: Lighting (Arcade, Covered Pedestrian Space: 7 foot candles); Covered Pedestrian Space: Litter Receptacles (6 litter receptacles); Covered Pedestrian Space: Other Required (10,600 sf exhibit area (Sony Wonder) required to be open Tuesday through Saturday, 9:30 am to 5:00 pm; 70-seat assembly space within the exhibit area available for use by the city's non-profit community for meetings when not in use by Sony Wonder; access to and from Covered Pedestrian Space and Madison Avenue through Sony office building lobby; mobile vendor cart of approximately 65 sf to sell merchandise and/or food); Covered Pedestrian Space: Plaque/Sign (at entrances and within Arcade, Covered Pedestrian Space, and Sony lobby on Madison Avenue); Covered Pedestrian Space: Restrooms (2 located within exhibit area near East 56th Street portion of Covered Pedestrian Space); Covered Pedestrian Space: Retail Frontage; Covered Pedestrian Space: Seating (226 movable chairs and 4 three-person benches for total seating for 238 persons); Covered Pedestrian Space: Tables (104 or some combination that maintains capacity for 238 persons); Covered Pedestrian Space: Trees within Space (8 in planters)",,,,temperature range of 68 to 78 degrees Fahrenheit,,,,"172 sf kiosk open 7:00 am to 6:00 pm Monday through Friday and 9:00 am to 5:00 pm on Saturday, 3,161 sf restaurant fronting Covered Pedestrian Space","Arcade, Covered Pedestrian Space: 7 foot candles; Arcade, Covered Pedestrian Space: 7 foot candles",Arcade: 6 recycling receptacles; 6 litter receptacles,,"at entrances and within Arcade, Covered Pedestrian Space, and Sony lobby on Madison Avenue; at entrances and within Arcade, Covered Pedestrian Space, and Sony lobby on Madison Avenue",,2 located within exhibit area near East 56th Street portion of Covered Pedestrian Space,Yes,226 movable chairs and 4 three-person benches for total seating for 238 persons,,104 or some combination that maintains capacity for 238 persons,4,8 in planters,,"10,600 sf exhibit area (Sony Wonder) required to be open Tuesday through Saturday, 9:30 am to 5:00 pm; 70-seat assembly space within the exhibit area available for use by the city's non-profit community for meetings when not in use by Sony Wonder; access to and from Covered Pedestrian Space and Madison Avenue through Sony office building lobby; mobile vendor cart of approximately 65 sf to sell merchandise and/or food",,,,,"Full/Partial",40.761462,-73.973504 ,0991590,0216699
M050019,Manhattan,1,05,1370,SIXTH AVENUE,10019,"1370 SIXTH AVENUE, New York, NY 10019",01271,0071,1370 Avenue of the Americas,Southeast corner of West 56th Street and Sixth Avenue,1971,31,,"95/67",Completed,Commercial,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Peter Sharp,Emery Roth & Sons,Emery Roth & Sons; Thomas Balsley (for alteration),Plaza 4449.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,"Lighting; Planting; Plaque/Sign; Seating","Plaza: Lighting; Plaza: Planting (8 planters); Plaza: Plaque/Sign (1 info plaque, 1 entry plaque); Plaza: Seating (45 linear feet of fixed seating, 31 movable chairs)",,,,,,,,,Yes,,8 planters,"1 info plaque, 1 entry plaque",,,,"45 linear feet of fixed seating, 31 movable chairs",,,,,,,,,,,"Full/Partial",40.763275,-73.977471 ,0990491,0217359
M050020,Manhattan,1,05,230,WEST 55 STREET,10019,"230 WEST 55 STREET, New York, NY 10019",01026,7502,La Premiere,Southwest corner of West 55th Street and Broadway,1979,31,,"4/77",Completed,Residential,,,Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,Philip Birnbaum,Philip Birnbaum; Elliot Vilkas Architect (for alteration in 2004),Residential Plaza 5215.00 sf,Restricted Hours,"Residential Plaza: Restricted Hours (8:00 am to 8:00 pm or dark, whichever is later)",,"8:00 am to 8:00 pm or dark, whichever is later",,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","Residential Plaza: Artwork (Visual Residual Space: sculpture); Residential Plaza: Bicycle Parking (Primary Space: rack for 7 bikes); Residential Plaza: Drinking Fountain (Primary Space: 1); Residential Plaza: Lighting (Primary Space: 2 horizontal foot candles); Residential Plaza: Litter Receptacles (Primary Space: 4); Residential Plaza: Planting (999 sf required, 3,093 sf provided); Residential Plaza: Plaque/Sign (Visual Residual Space: 1); Residential Plaza: Seating (46 linear feet including 5 lf with backs required, 52.5 lf including 18 lf benches with no backs, 22 lf benches with backs, and 5 marble chairs (12.5 lf) provided); Residential Plaza: Trees on Street (10); Residential Plaza: Trees within Space (12)",,Visual Residual Space: sculpture,Primary Space: rack for 7 bikes,,Primary Space: 1,,,,Primary Space: 2 horizontal foot candles,Primary Space: 4,"999 sf required, 3,093 sf provided",Visual Residual Space: 1,,,,"46 linear feet including 5 lf with backs required, 52.5 lf including 18 lf benches with no backs, 22 lf benches with backs, and 5 marble chairs (12.5 lf) provided",,,10,12,,,,,,,"Full/Partial",40.764686,-73.982694 ,0989044,0217873
M050021,Manhattan,1,05,1345,SIXTH AVENUE,10105,"1345 SIXTH AVENUE, New York, NY 10105",01007,0029,Alliance Capital,West side of Sixth Avenue between West 54th and 55th Streets,1968,50,,"71/66",Completed,Commercial,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Fisher Brothers,Emery Roth & Sons,Emery Roth & Sons,Plaza 30171.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees within Space; Water Feature","Plaza: Artwork (2); Plaza: Bicycle Parking (10); Plaza: Drinking Fountain (1); Plaza: Lighting; Plaza: Litter Receptacles (11); Plaza: Planting (2,082 SF); Plaza: Plaque/Sign (10 Entry, 1 Information, 1 prohibition); Plaza: Seating (1,128.66 LF provided including fixed benches with and without backs, seating wall, fountain ledges, 176 LF of movable seating. ); Plaza: Tables (28); Plaza: Trees within Space (13 Trees planted flush with grade); Plaza: Water Feature (2)",,2,10,,1,,,,Yes,11,"2,082 SF","10 Entry, 1 Information, 1 prohibition",,,,"1,128.66 LF provided including fixed benches with and without backs, seating wall, fountain ledges, 176 LF of movable seating. ",,28,,13 Trees planted flush with grade,2,,Open Air Cafe,"Plaza: Open Air Cafe (N 190096 ZCM, expires January 30, 2022)","N 190096 ZCM, expires January 30, 2022",,"Full/Partial",40.763064,-73.979254 ,0989997,0217282
M050022,Manhattan,1,05,1350,SIXTH AVENUE,10019,"1350 SIXTH AVENUE, New York, NY 10019",01270,0071,Men's Apparel,Southeast corner of West 55th Street and Sixth Avenue,1966,33,,"90/63",Completed,Commercial,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Samuel Minskoff & Sons,Emery Roth & Sons,Emery Roth & Sons,Plaza 5879.50 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.762575,-73.977778 ,0990406,0217104
M050024,Manhattan,1,05,535,MADISON AVENUE,10022,"535 MADISON AVENUE, New York, NY 10022",01290,0021,Warburg Dillon Read,Northeast corner of East 54th Street and Madison Avenue,1982,36,,,Completed,Commercial,,North side of West 54th Street between Park Avenue and Madison Avenue,Arcade; Urban Plaza,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,"Park Tower Associates, Madison Ave. Associates",Edward Larrabee Barnes,Edward Larrabee Barnes; Zion Breen & Richardson Associates (for alteration in 2009),Arcade 1700.00 sf; Urban Plaza 4869.30 sf,24 Hours,Arcade: 24 Hours; Urban Plaza: 24 Hours,Yes,,,"Artwork; Bicycle Parking; Food Service; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space","Urban Plaza: Artwork (display of rotating sculptures changed periodically, on loan from Christie's, to be placed in one or all delineated); Urban Plaza: Bicycle Parking (1 rack with 2 spaces); Urban Plaza: Food Service (271 sf kiosk providing snack and beverage service); Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (4); Urban Plaza: Planting (783.7 sf planters and ivy beds); Urban Plaza: Plaque/Sign (1 entry plaque, 1 information plaque); Urban Plaza: Retail Frontage (42'); Urban Plaza: Seating (193 linear feet composed of 76 lf fixed benches without backs, 45 lf fixed benches with backs and 36 movable); Urban Plaza: Tables (12); Urban Plaza: Trees on Street (12); Urban Plaza: Trees within Space (17)",,"display of rotating sculptures changed periodically, on loan from Christie's, to be placed in one or all delineated",1 rack with 2 spaces,,,,,271 sf kiosk providing snack and beverage service,Yes,4,783.7 sf planters and ivy beds,"1 entry plaque, 1 information plaque",,,42',"193 linear feet composed of 76 lf fixed benches without backs, 45 lf fixed benches with backs and 36 movable",,12,12,17,,,,,,,"Full/Partial",40.760430,-73.973277 ,0991604,0216295
M050025,Manhattan,1,05,520,MADISON AVENUE,10022,"520 MADISON AVENUE, New York, NY 10022",01289,0014,,West side of Madison Avenue between East 53rd and 54th Streets,1982,43,,"22/79",Completed,Commercial,,,Sidewalk Widening; Urban Plaza,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,Tishman Speyer Properties,Swanke Hayden Connell,Swanke Hayden Connell,Sidewalk Widening 5353.00 sf; Urban Plaza 2610.00 sf,24 Hours,Sidewalk Widening: 24 Hours; Urban Plaza: 24 Hours,Yes,,,"Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature","Sidewalk Widening: Trees on Street (24 required, 27 provided); Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (3); Urban Plaza: Planting; Urban Plaza: Plaque/Sign; Urban Plaza: Retail Frontage (60 linear feet required, 75 lf provided); Urban Plaza: Seating (89 linear feet required, 52 lf fixed seating and 40 movable chairs provided); Urban Plaza: Tables (10); Urban Plaza: Trees within Space (4 required, 10 provided); Urban Plaza: Water Feature (waterwall and reflecting pool)",,,,,,,,,Yes,3,Yes,Yes,,,"60 linear feet required, 75 lf provided","89 linear feet required, 52 lf fixed seating and 40 movable chairs provided",,10,"24 required, 27 provided","4 required, 10 provided",waterwall and reflecting pool,,,,,,"Full/Partial",40.760077,-73.974447 ,0991329,0216194
M050026,Manhattan,1,05,1330,SIXTH AVENUE,10019,"1330 SIXTH AVENUE, New York, NY 10019",01269,0001,,East side of Sixth Avenue between West 53rd and 54th Streets,1965,40,,"59/63",Completed,Commercial,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Emery Roth & Sons,"Emery Roth & Sons; Moed de Armas & Shannon Architects, P.C. (for alteration in 2012)",Plaza 6312.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,"Artwork; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables","Plaza: Artwork (1 sculpture located in planter of 54th Street, 1 sculpture located at the corner of Sixth Avenue and 53rd Street); Plaza: Lighting; Plaza: Litter Receptacles (1); Plaza: Planting (108 sf); Plaza: Plaque/Sign (2 entry plaques, 1 combined entry and information plaque); Plaza: Retail Frontage (204'-5""); Plaza: Seating (62 linear feet including benches, bulkheads, and 12 movable chairs (24 lf within 15' of West 53rd Street, 24 lf within 15' of Sixth Avenue)); Plaza: Tables (3 movable tables)",,"1 sculpture located in planter of 54th Street, 1 sculpture located at the corner of Sixth Avenue and 53rd Street",,,,,,,Yes,1,108 sf,"2 entry plaques, 1 combined entry and information plaque",,,"204'-5""","62 linear feet including benches, bulkheads, and 12 movable chairs (24 lf within 15' of West 53rd Street, 24 lf within 15' of Sixth Avenue)",,3 movable tables,,,,,,,,,"Full/Partial",40.761966,-73.978475 ,0990213,0216882
M050027,Manhattan,1,05,825,SEVENTH AVENUE,10019,"825 SEVENTH AVENUE, New York, NY 10019",01006,7501,Tower 53,Northwest corner of West 53rd Street and Seventh Avenue,1967,37,,"47/65",Completed,Commercial; Residential,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Loews Corporation,Russell M. Boak Associates,Russell M. Boak Associates,Plaza 2554.70 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.762943,-73.981276 ,0989437,0217238
M050028,Manhattan,1,05,1700,BROADWAY,10019,"1700 BROADWAY, New York, NY 10019",01025,0025,,Full blockfront on east side of Broadway between West 53rd and 54th Streets,1968,40,,"91/65",Completed,Commercial,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Jerome Weinstein,Emery Roth & Sons,Emery Roth & Sons; Moss Gilday Group and M. Paul Friedberg and Partners (for alteration in 2010),Plaza 8241.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,"Bicycle Parking; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Tables; Trees within Space","Plaza: Bicycle Parking (2 spaces provided on sidewalk adjacent to the Plaza); Plaza: Lighting; Plaza: Litter Receptacles (3); Plaza: Other Required (green screen); Plaza: Planting; Plaza: Plaque/Sign (4 entry plaques, 4 information plaques); Plaza: Seating (219 linear feet including 14 lf benches at planters with backs, 68.4 lf benches at planters without backs, 34.5 lf seating pods, and 51 movable chairs (102 lf)); Plaza: Tables (dining table pods on Broadway and 54th Street); Plaza: Trees within Space (10 Columnar European Hornbeam, 1 Japanese White Birch, 4 Magnolia Grandiflora)",,,2 spaces provided on sidewalk adjacent to the Plaza,,,,,,Yes,3,Yes,"4 entry plaques, 4 information plaques",,,,"219 linear feet including 14 lf benches at planters with backs, 68.4 lf benches at planters without backs, 34.5 lf seating pods, and 51 movable chairs (102 lf)",,dining table pods on Broadway and 54th Street,,"10 Columnar European Hornbeam, 1 Japanese White Birch, 4 Magnolia Grandiflora",,green screen,Open Air Cafe,"Plaza: Open Air Cafe (1,656 sf)","1,656 sf",,"Full/Partial",40.763512,-73.982272 ,0989161,0217445
M050029,Manhattan,1,05,810,SEVENTH AVENUE,10019,"810 SEVENTH AVENUE, New York, NY 10019",01024,0038,,Southwest corner of Seventh Avenue and West 53rd Street,1970,41,,"18/68",Completed,Commercial,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Abraham Sommer,Kahn and Jacobs,Kahn and Jacobs,Plaza 6575.00 sf,24 Hours,Plaza: 24 Hours,Yes,,,"Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees within Space","Plaza: Litter Receptacles; Plaza: Other Required (trellised arcade in Plaza along West 53rd Street); Plaza: Planting (7 planters); Plaza: Plaque/Sign (2); Plaza: Seating (60 seats around 5 planters in a public seating area occupying 2,383.3 sf of Plaza); Plaza: Trees within Space (7)",,,,,,,,,,Yes,7 planters,2,,,,"60 seats around 5 planters in a public seating area occupying 2,383.3 sf of Plaza",,,,7,,trellised arcade in Plaza along West 53rd Street,,,,,"Full/Partial",40.762913,-73.982525 ,0989091,0217227
M050030,Manhattan,1,05,1301,SIXTH AVENUE,10019,"1301 SIXTH AVENUE, New York, NY 10019",01005,0029,,West side of Sixth Avenue between West 52nd and 53rd Streets,1964,45,,"270/61",Completed,Commercial,,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Percy and Harold D. Uris,Shreve Lamb Harmon Associates,Shreve Lamb Harmon Associates,Arcade 6274.00 sf; Plaza 18376.07 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,None,Arcade: None; Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.761768,-73.980027 ,0989783,0216810
M050031,Manhattan,1,05,51,WEST 52 STREET,10019,"51 WEST 52 STREET, New York, NY 10019",01268,0001,CBS,East Side of Sixth Avenue between West 52nd and 53rd Streets,1965,38,,"190/61",Completed,Commercial,,,Plaza,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,"Eero Saarinen/Kevin Roche John Dinkeloo and Associates","Eero Saarinen/Kevin Roche John Dinkeloo and Associates",Plaza 10731.60 sf,24 Hours,Plaza: 24 Hours,Yes,,,None,Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.761227,-73.978746 ,0990138,0216613
M050032,Manhattan,1,05,10,EAST 53 STREET,10022,"10 EAST 53 STREET, New York, NY 10022",01288,0007,HarperCollins,South side of East 53rd Street between Madison and Fifth Avenues,1971,38,,"57/69",Completed,Commercial,,East side of Fifth Avenue between East 52nd Street and East 53rd Street,Plaza; Through Block Arcade,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,Percy and Harold Uris,"Emery Roth & Sons; TPG Architects, LLP (for alteration in 2014)","Emery Roth & Sons; Thomas Balsley Associates (for alteration in 2014); TPG Architecture, LLP (2015 Design Change)",Plaza 2890.00 sf; Through Block Arcade 3723.50 sf,24 Hours; Restricted Hours,Plaza: 24 Hours; Through Block Arcade: Restricted Hours (6:00 am - 12 midnight),Yes,6:00 am - 12 midnight,,"Artwork; Bicycle Parking; Climate Control; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street","Plaza: Artwork (Art wall); Plaza: Bicycle Parking (Plaza A: 1 bike rack with 2 spaces); Plaza: Lighting; Plaza: Litter Receptacles (2); Plaza: Other Required (12' 5"" x 12' 8"" green screen, 2 brushed stainless steel canopies); Plaza: Planting (Plaza A: 251 sf; Plaza B: 238 sf); Plaza: Plaque/Sign (Plaza A: 1 info, 1 entry; Plaza B: 1 info, 1 entry); Plaza: Seating (Plaza A: 65.9 LF including 10 movable seats; Plaza B: 31 LF including 6 movable seats); Plaza: Tables (Plaza A: 5; Plaza B: 3); Plaza: Trees on Street (5); Through Block Arcade: Artwork (art walls); Through Block Arcade: Climate Control; Through Block Arcade: Lighting; Through Block Arcade: Plaque/Sign (6 public arcade access signs); Through Block Arcade: Retail Frontage",,art walls; Art wall,Plaza A: 1 bike rack with 2 spaces,Yes,,,,,Yes,2,Plaza A: 251 sf; Plaza B: 238 sf,"Plaza A: 1 info, 1 entry; Plaza B: 1 info, 1 entry; 6 public arcade access signs",,,Yes,Plaza A: 65.9 LF including 10 movable seats; Plaza B: 31 LF including 6 movable seats,,Plaza A: 5; Plaza B: 3,5,,,"12' 5"" x 12' 8"" green screen, 2 brushed stainless steel canopies",,,,,"Full/Partial",40.759813,-73.975317 ,0991088,0216098
